"venue_name","venue_city","venue_state","venue_capacity","total_events","prime_night_events","off_night_events","prime_night_share","off_night_share"
"The Horn","St. Albans",NULL,250,342,102,240,29.82,70.18
"Memorial Coliseum","Portland","Oregon",12888,198,59,139,29.80,70.20
"Kansas Smitty's","London",NULL,NULL,94,28,66,29.79,70.21
"Port Theatre","Nanaimo","BC",804,47,14,33,29.79,70.21
"Diesel Club Lounge","Pittsburgh","Pennsylvania",0,131,39,92,29.77,70.23
"Folkets Hus","Struer",NULL,NULL,37,11,26,29.73,70.27
"Pier 84, Hudson River Park","New York","New York",0,37,11,26,29.73,70.27
"Headliners Mainstage","Columbia","South Carolina",0,64,19,45,29.69,70.31
"The Bowery Electric","New York","New York",0,54,16,38,29.63,70.37
"Knitting Factory","Reno","Nevada",1265,27,8,19,29.63,70.37
"red lion inn","Champaign","Illinois",0,27,8,19,29.63,70.37
"Kater","Zürich",NULL,NULL,27,8,19,29.63,70.37
"La Bulle Café","Lille",NULL,NULL,27,8,19,29.63,70.37
"Austin Municipal Auditorium","Austin","Texas",0,27,8,19,29.63,70.37
"Rotary Amphitheater","Fresno","California",0,27,8,19,29.63,70.37
"Palomino Club","Los Angeles","California",0,27,8,19,29.63,70.37
"The Dragonfly","Los Angeles","California",0,27,8,19,29.63,70.37
"Snow King Resort","Jackson","Wyoming",0,27,8,19,29.63,70.37
"Bernie's Distillery","Columbus","Ohio",0,27,8,19,29.63,70.37
"The Rave Bar","Milwaukee","Wisconsin",0,27,8,19,29.63,70.37
"Alexela Concert Hall","Tallinn",NULL,NULL,27,8,19,29.63,70.37
"Norwegian Cruise Line - Norwegian Dawn","Miami","Florida",0,44,13,31,29.55,70.45
"Winners Bar & Grill","Nashville","TN",NULL,44,13,31,29.55,70.45
"The Satellite","Los Angeles","California",0,241,71,170,29.46,70.54
"Théâtres Romains de Fourvière","Lyon",NULL,NULL,51,15,36,29.41,70.59
"UCCU Events Center","Orem","Utah",0,34,10,24,29.41,70.59
"Mediolanum Forum","Assago",NULL,13200,34,10,24,29.41,70.59
"Cafe Mambo","Ibiza",NULL,NULL,51,15,36,29.41,70.59
"Irving Theater","Indianapolis","Indiana",600,51,15,36,29.41,70.59
"Three County Fairgrounds","Northampton","Massachusetts",0,85,25,60,29.41,70.59
"Alabama Music Box","Mobile","Alabama",0,51,15,36,29.41,70.59
"The Reverb","Waterloo","Iowa",0,34,10,24,29.41,70.59
"Casino Barrière Toulouse","Toulouse",NULL,NULL,34,10,24,29.41,70.59
"West Street Live","Sheffield",NULL,NULL,109,32,77,29.36,70.64
"Club Pryzm","Kingston Upon Thames",NULL,NULL,75,22,53,29.33,70.67
"Shrine Auditorium","Billings","Montana",0,75,22,53,29.33,70.67
"Lucerna Music Bar","Prague",NULL,NULL,133,39,94,29.32,70.68
"Kleiner Klub","Saarbrücken",NULL,NULL,58,17,41,29.31,70.69
"Electric Forest","Rothbury","Michigan",0,58,17,41,29.31,70.69
"Murphy's Grand Irish Pub","Alexandria","VA",NULL,41,12,29,29.27,70.73
"Columbus","Columbus","Ohio",0,24,7,17,29.17,70.83
"The Wardrobe Theatre @ The Assembly","Bristol",NULL,NULL,24,7,17,29.17,70.83
"Zoo Entertainment Complex","Pittsburgh","Pennsylvania",0,48,14,34,29.17,70.83
"Admiral Bar","Glasgow",NULL,NULL,24,7,17,29.17,70.83
"Carnival Cruise","New Orleans","Louisiana",0,24,7,17,29.17,70.83
"Lac - Sala Teatro","Lugano",NULL,NULL,24,7,17,29.17,70.83
"The National Centre For Early Music (NCEM)","York",NULL,NULL,24,7,17,29.17,70.83
"Tower Theatre","Fresno","California",150,24,7,17,29.17,70.83
"District Bar And Grill","Rockford","Illinois",0,24,7,17,29.17,70.83
"Graffiti","Pittsburgh","Pennsylvania",0,127,37,90,29.13,70.87
"Dover International Speedway","Dover","Delaware",0,234,68,166,29.06,70.94
"Meyer Amphitheatre","West Palm Beach","Florida",0,31,9,22,29.03,70.97
"The Boulder Theater","Boulder","Colorado",0,31,9,22,29.03,70.97
"The Music Farm","Charleston","South Carolina",960,31,9,22,29.03,70.97
"Lakewood Ampitheater","Atlanta","Georgia",18920,31,9,22,29.03,70.97
"Nashville Underground","Nashville","TN",NULL,31,9,22,29.03,70.97
"Théâtre de l'Essaïon","Paris",NULL,NULL,31,9,22,29.03,70.97
"Roseland Theatre","Portland","Oregon",0,31,9,22,29.03,70.97
"GTE Virginia Beach Amphitheater","Virginia Beach","Virginia",0,190,55,135,28.95,71.05
"Alexander's Live","Chester",NULL,NULL,38,11,27,28.95,71.05
"Van Wezel Performing Arts Hall","Sarasota","Florida",1741,83,24,59,28.92,71.08
"Pickles Pub","Ocean City","MD",NULL,45,13,32,28.89,71.11
"Rockwood Music Hall Stage 2","New York","New York",0,52,15,37,28.85,71.15
"Neue Welt","Ingolstadt",NULL,NULL,21,6,15,28.57,71.43
"HEB Performance Hall, Tobin Center for the Performing Arts","San Antonio","Texas",0,21,6,15,28.57,71.43
"Billboard Live - Osaka","Osaka",NULL,NULL,28,8,20,28.57,71.43
"Mark C. Smith Concert Hall, Von Braun Center","Huntsville","Alabama",9000,56,16,40,28.57,71.43
"Mercury Cafe","Denver","Colorado",0,49,14,35,28.57,71.43
"Amoeba Records","San Francisco","California",0,21,6,15,28.57,71.43
"Mount Pleasant Tavern","North Mackay","QLD",NULL,21,6,15,28.57,71.43
"The Blues Kitchen - Camden","Camden",NULL,NULL,28,8,20,28.57,71.43
"Obsessions","Randolph","New Jersey",0,35,10,25,28.57,71.43
"Lagunitas Brewing Co.","Petaluma","CA",NULL,35,10,25,28.57,71.43
"Blockbuster Pavilion","Phoenix","Arizona",0,21,6,15,28.57,71.43
"Joe's Pub","New York","New York",0,91,26,65,28.57,71.43
"Arēnā Rīga","Riga",NULL,NULL,21,6,15,28.57,71.43
"Heinz Hall","Pittsburgh","Pennsylvania",0,49,14,35,28.57,71.43
"Medford Armory","Medford","Oregon",0,35,10,25,28.57,71.43
"Coyotes","Louisville","Kentucky",0,21,6,15,28.57,71.43
"Voodoo Lounge, Harrah's Casino North Kansas City","Kansas City","Missouri",0,28,8,20,28.57,71.43
"Sun National Bank Center","Philadelphia","Pennsylvania",0,28,8,20,28.57,71.43
"Kukuun","Hamburg",NULL,NULL,28,8,20,28.57,71.43
"Usana Ampitheatre","West Valley City","Utah",20000,21,6,15,28.57,71.43
"Rock Island","Denver","Colorado",0,81,23,58,28.40,71.60
"Auster Club","Berlin",NULL,NULL,74,21,53,28.38,71.62
"Magness Arena, University of Denver","Denver","Colorado",0,74,21,53,28.38,71.62
"Outlaw Field at the Idaho Botanical Garden","Boise","Idaho",1000,60,17,43,28.33,71.67
"The Song & Dance","Syracuse","New York",0,60,17,43,28.33,71.67
"Louise M. Davies Symphony Hall","San Francisco","California",0,53,15,38,28.30,71.70
"Rockin Rodeo - Midland","Midland","TX",NULL,53,15,38,28.30,71.70
"Cecil Sharp House","London",NULL,420,53,15,38,28.30,71.70
"Paper Dress Vintage","London",NULL,NULL,198,56,142,28.28,71.72
"Folklore","London",NULL,NULL,46,13,33,28.26,71.74
"Bakersfield Dome","Bakersfield","California",0,46,13,33,28.26,71.74
"The GRAMMY Museum","Los Angeles","CA",NULL,124,35,89,28.23,71.77
"Pikes Peak Center","Colorado Springs","Colorado",2000,103,29,74,28.16,71.84
"1919 Hemphill","Fort Worth","Texas",0,32,9,23,28.13,71.88
"Springwater","Nashville","TN",NULL,32,9,23,28.13,71.88
"Bren Events Center, UCI","Los Angeles","California",0,32,9,23,28.13,71.88
"WWW","Shibuya",NULL,400,32,9,23,28.13,71.88
"Hoxton Hall Youth Arts Centre","London",NULL,NULL,32,9,23,28.13,71.88
"The Buckingham","Edmonton","AB",NULL,32,9,23,28.13,71.88
"Modified","Phoenix","Arizona",0,32,9,23,28.13,71.88
"The Edge","Palo Alto","California",0,82,23,59,28.05,71.95
"Rockefeller's","Houston","Texas",0,25,7,18,28.00,72.00
"The Troubadour","Los Angeles","California",0,25,7,18,28.00,72.00
"The Horn at the Half Moon","Bishops Stortford",NULL,NULL,25,7,18,28.00,72.00
"Harvard & Stone","Los Angeles","CA",NULL,75,21,54,28.00,72.00
"The Caves","Edinburgh",NULL,NULL,75,21,54,28.00,72.00
"The Complex (Formerly Regency Live)","Springfield","Missouri",0,25,7,18,28.00,72.00
"Yellow Submarine / צוללת צהובה","Jerusalem",NULL,NULL,25,7,18,28.00,72.00
"The Balcony Club","Dallas","TX",NULL,75,21,54,28.00,72.00
"Oklahoma State Fair Arena","Oklahoma City","Oklahoma",0,50,14,36,28.00,72.00
"California Mid State Fair","Paso Robles","California",7500,25,7,18,28.00,72.00
"Ampere","Munich",NULL,500,75,21,54,28.00,72.00
"Baby's All Right - Brooklyn","New York","New York",0,68,19,49,27.94,72.06
"Rams Head Shore House","Stevensville","MD",NULL,36,10,26,27.78,72.22
"Crafthouse Stage & Grill","Pittsburgh","Pennsylvania",0,108,30,78,27.78,72.22
"Club 5","Jacksonville","Florida",0,36,10,26,27.78,72.22
"Brooklyn Academy of Music","New York","New York",0,54,15,39,27.78,72.22
"City Auditorium","Colorado Springs","Colorado",0,36,10,26,27.78,72.22
"Rushmore Plaza","Rapid City","South Dakota",0,36,10,26,27.78,72.22
"Meow Wolf","Santa Fe","New Mexico",0,119,33,86,27.73,72.27
"Wolftrap","Vienna","Virginia",0,47,13,34,27.66,72.34
"American Idol","Los Angeles","California",0,58,16,42,27.59,72.41
"Smokin' Tuna Saloon","Key West","FL",NULL,29,8,21,27.59,72.41
"White House","Washington","District of Columbia",0,58,16,42,27.59,72.41
"The Vault","Sioux Falls","South Dakota",0,29,8,21,27.59,72.41
"Arcata Theatre Lounge","Arcata","California",600,29,8,21,27.59,72.41
"Civic Auditorium","Fargo","North Dakota",0,29,8,21,27.59,72.41
"Proof Rooftop Lounge","Houston","Texas",0,29,8,21,27.59,72.41
"Capone's","Johnson City","TN",0,29,8,21,27.59,72.41
"Seacrets","Ocean City","MD",NULL,40,11,29,27.50,72.50
"Idaho Botanical Garden","Boise","Idaho",1000,40,11,29,27.50,72.50
"Fat Cat Music House & Lounge","Modesto","California",0,40,11,29,27.50,72.50
"Artpark Amphitheater","Lewiston","NY",NULL,51,14,37,27.45,72.55
"El Cid","Los Angeles","California",0,51,14,37,27.45,72.55
"Club 101","El Paso","Texas",0,255,70,185,27.45,72.55
"Innsbrook Pavilion","Glen Allen","Virginia",3000,62,17,45,27.42,72.58
"Blue Shell","Cologne",NULL,1500,205,56,149,27.32,72.68
"City Winery New York City","New York","New York",0,33,9,24,27.27,72.73
"The Painted Lady","Toronto","ON",NULL,44,12,32,27.27,72.73
"Roter Salon Im Z-bau","Nuremberg",NULL,NULL,33,9,24,27.27,72.73
"Blockbuster Pavillion","Charlotte","North Carolina",0,22,6,16,27.27,72.73
"Port of Miami","Miami","Florida",0,33,9,24,27.27,72.73
"Tower Records","Los Angeles","California",0,22,6,16,27.27,72.73
"Great Western Forum","Los Angeles","California",0,22,6,16,27.27,72.73
"University of Illinois, Champaign-Urbana","Champaign","Illinois",0,22,6,16,27.27,72.73
"Centennial Concert Hall","Winnipeg","MB",NULL,22,6,16,27.27,72.73
"O2 ABC 2 Glasgow","Glasgow",NULL,350,33,9,24,27.27,72.73
"The Orpheum (Ybor - 7th Avenue)","Tampa","Florida",720,22,6,16,27.27,72.73
"Hi-Tone Cafe - Old Old Location","Memphis","Tennessee",0,22,6,16,27.27,72.73
"Lone Star Cafe","New York","New York",0,22,6,16,27.27,72.73
"Ting Pavilion","Charlottesville","VA",NULL,22,6,16,27.27,72.73
"The Kennel Club","San Francisco","California",0,44,12,32,27.27,72.73
"Cascade Theatre","Redding","California",0,33,9,24,27.27,72.73
"Teatro Colosseo","Turin",NULL,NULL,22,6,16,27.27,72.73
"1999","Paris",NULL,NULL,66,18,48,27.27,72.73
"Utah Sate Fairpark","Salt Lake City","Utah",0,33,9,24,27.27,72.73
"The Main Stage at the iO Theater","Los Angeles","CA",NULL,77,21,56,27.27,72.73
"Museum of Modern Art","New York","New York",0,22,6,16,27.27,72.73
"Loading Dock","Salt Lake City","Utah",0,22,6,16,27.27,72.73
"1904","Jacksonville","Florida",0,59,16,43,27.12,72.88
"Tonfink","Lübeck",NULL,NULL,74,20,54,27.03,72.97
"The Chris Farley Cabaret","Chicago","IL",NULL,26,7,19,26.92,73.08
"Rye Wax","London",NULL,NULL,26,7,19,26.92,73.08
"Village Underground","New York","New York",0,26,7,19,26.92,73.08
"Popejoy Hall, University of New Mexico","Albuquerque","New Mexico",0,26,7,19,26.92,73.08
"AOL Sessions","Los Angeles","California",0,26,7,19,26.92,73.08
"Hi-Pointe","St Louis","Missouri",0,41,11,30,26.83,73.17
"Threes Brewing","Brooklyn","NY",100,41,11,30,26.83,73.17
"Harper's Ferry","Allston","Massachusetts",0,30,8,22,26.67,73.33
"Feierwerk / Sunny Red","Munich",NULL,NULL,30,8,22,26.67,73.33
"Key Bank Pavilion","Pittsburgh","Pennsylvania",0,45,12,33,26.67,73.33
"Unknown venue","Live Oak","FL",NULL,30,8,22,26.67,73.33
"Studio 6A, 30 Rockefeller Center","New York","New York",0,263,70,193,26.62,73.38
"Western Idaho Fairgrounds","Boise","Idaho",0,34,9,25,26.47,73.53
"Benedum Center for the Performing Arts","Pittsburgh","Pennsylvania",2800,34,9,25,26.47,73.53
"Capital One City Parks Foundation Summerstage","New York","New York",0,34,9,25,26.47,73.53
"Komedia, Studio Bar","Brighton",NULL,150,53,14,39,26.42,73.58
"Milwaukee Summerfest","Milwaukee","Wisconsin",0,428,113,315,26.40,73.60
"Pontiac Grille","Philadelphia","Pennsylvania",0,38,10,28,26.32,73.68
"David Geffen Hall, Lincoln Center for the Performing Arts","New York","New York",0,38,10,28,26.32,73.68
"The Masonic Lodge at Hollywood Forever","Los Angeles","California",0,42,11,31,26.19,73.81
"Iron City Birmingham","Birmingham","Alabama",0,42,11,31,26.19,73.81
"iHeartRadio Theater","Burbank","California",0,84,22,62,26.19,73.81
"St Pancras Old Church","London",NULL,100,214,56,158,26.17,73.83
"Nippon Budokan｜日本武道館","Tokyo",NULL,14471,23,6,17,26.09,73.91
"VEVO Studios","New York","New York",0,23,6,17,26.09,73.91
"The Paradox","Seattle","Washington",0,23,6,17,26.09,73.91
"1100 Warehouse","Austin","Texas",0,23,6,17,26.09,73.91
"High Dive","Seattle","Washington",250,23,6,17,26.09,73.91
"CenturyLink Arena","Omaha","Nebraska",0,23,6,17,26.09,73.91
"The Roxy","Phoenix","Arizona",0,23,6,17,26.09,73.91
"Tasty World","Athens","Georgia",0,23,6,17,26.09,73.91
"The Tunnels","Bristol",NULL,360,23,6,17,26.09,73.91
"Unknown venue","Novalja",NULL,NULL,23,6,17,26.09,73.91
"World Arena","Colorado Springs","Colorado",0,96,25,71,26.04,73.96
"The Local","Nashville","TN",NULL,127,33,94,25.98,74.02
"Wild Bill's","Banff","AB",NULL,27,7,20,25.93,74.07
"The Neptune Theater","Seattle","Washington",0,27,7,20,25.93,74.07
"Fourth Presbyterian Church","Chicago","Illinois",0,54,14,40,25.93,74.07
"Laeiszhalle Hamburg","Hamburg",NULL,NULL,27,7,20,25.93,74.07
"Elysium","Austin","Texas",0,27,7,20,25.93,74.07
"Skrappy's","Tucson","Arizona",0,116,30,86,25.86,74.14
"Hard Rock Cafe","New York","New York",500,58,15,43,25.86,74.14
"UCCU Events Center","Salt Lake City","Utah",0,31,8,23,25.81,74.19
"Table Mountain Casino","Friant","California",0,31,8,23,25.81,74.19
"Swayze's","Marietta","Georgia",0,31,8,23,25.81,74.19
"Theater Am Spittelberg","Vienna",NULL,NULL,31,8,23,25.81,74.19
"Cricket Pavillion","Phoenix","Arizona",0,31,8,23,25.81,74.19
"Lonestar Pavilion at Sunset Station","San Antonio","Texas",0,31,8,23,25.81,74.19
"City Vineyard","New York","NY",NULL,31,8,23,25.81,74.19
"The Basement-tn","Nashville","TN",NULL,31,8,23,25.81,74.19
"Mangy Moose","Teton Village","Wyoming",0,35,9,26,25.71,74.29
"Late Late Show with Craig Ferguson","Los Angeles","California",0,70,18,52,25.71,74.29
"6:45 Kaybedenler Kulubü","Ankara",NULL,200,35,9,26,25.71,74.29
"Victory North","Savannah","Georgia",600,35,9,26,25.71,74.29
"I.C. Light Amphitheatre","Pittsburgh","Pennsylvania",0,109,28,81,25.69,74.31
"Bar Bobu","Berlin",NULL,NULL,39,10,29,25.64,74.36
"PHX Arena","Phoenix","Arizona",0,43,11,32,25.58,74.42
"The Stoller Hall","Manchester",NULL,NULL,43,11,32,25.58,74.42
"The Exit","Fresno","California",0,90,23,67,25.56,74.44
"Spectrum Club","Augsburg",NULL,NULL,98,25,73,25.51,74.49
"Late Late Show With Craig Kilborn","Los Angeles","California",0,59,15,44,25.42,74.58
"Virginia Beach Ampitheater","Virginia Beach","Virginia",0,59,15,44,25.42,74.58
"Fluc","Vienna",NULL,NULL,67,17,50,25.37,74.63
"Riverbend Music Center","Cincinnati","Ohio",20500,3428,866,2562,25.26,74.74
"Heimathafen","Berlin",NULL,NULL,20,5,15,25.00,75.00
"Papaya Club","Pag",NULL,5000,28,7,21,25.00,75.00
"Club la vela","Panama City Beach","Florida",6000,56,14,42,25.00,75.00
"Fredriksten Festning","Halden",NULL,NULL,32,8,24,25.00,75.00
"30CC","Leuven",NULL,650,24,6,18,25.00,75.00
"Evening Muse","Charlotte","North Carolina",120,28,7,21,25.00,75.00
"Karma","Victorville","CA",0,24,6,18,25.00,75.00
"Kresge Auditorium, Interlochen Center for the Arts","Interlochen","Michigan",0,48,12,36,25.00,75.00
"Baltimore Sound Stage","Baltimore","Maryland",0,20,5,15,25.00,75.00
"Kunstkeller O27","Fürth",NULL,NULL,20,5,15,25.00,75.00
"Woodland Park Zoo","Seattle","WA",NULL,44,11,33,25.00,75.00
"Capital Ale House Music Hall","Richmond","Virginia",0,24,6,18,25.00,75.00
"Sargfabrik","Vienna",NULL,NULL,24,6,18,25.00,75.00
"Zanies Comedy Night Club","Nashville","TN",NULL,20,5,15,25.00,75.00
"Melody Ballroom","Portland","Oregon",0,36,9,27,25.00,75.00
"Deep Ellum Art Co.","Dallas","Texas",2000,24,6,18,25.00,75.00
"Venue Cymru","Llandudno",NULL,NULL,20,5,15,25.00,75.00
"Teatro Verdi","Florence",NULL,NULL,20,5,15,25.00,75.00
"The Sphere","Buffalo","New York",0,20,5,15,25.00,75.00
"Veterans Memorial Auditorium","Providence","Rhode Island",1900,24,6,18,25.00,75.00
"Bamajam Farms","Enterprise","Alabama",0,28,7,21,25.00,75.00
"Flamingo Cantina","Austin","Texas",0,64,16,48,25.00,75.00
"Kunstrasen Bonn Gronau","Bonn",NULL,NULL,32,8,24,25.00,75.00
"Visual Arts Collective","Garden City","ID",NULL,24,6,18,25.00,75.00
"Agricultural Hall, Allentown Fairgrounds","Allentown","Pennsylvania",10440,20,5,15,25.00,75.00
"Destino Pacha Ibiza Resort","Ibiza",NULL,300,24,6,18,25.00,75.00
"Landmark Bar & Kitchen","Fort Worth","TX",NULL,28,7,21,25.00,75.00
"Studio Seven","Seattle","WA",750,24,6,18,25.00,75.00
"Lincoln Theater","Raleigh","North Carolina",0,20,5,15,25.00,75.00
"Hotel Bayerischer Hof","Munich",NULL,NULL,20,5,15,25.00,75.00
"Walter E. Washington Convention Center","Washington","District of Columbia",0,32,8,24,25.00,75.00
"Elvis Duran and the Morning Show","New York","New York",0,20,5,15,25.00,75.00
"Southport Music Hall","New Orleans","LA",NULL,24,6,18,25.00,75.00
"Map Room, The Bowery Electric","New York","NY",NULL,190,47,143,24.74,75.26
"The Gasworks","Albuquerque","New Mexico",0,65,16,49,24.62,75.38
"WDVX 89.9 Blue Plate Special","Knoxville","TN",250,61,15,46,24.59,75.41
"Le Baiser Salé","Paris",NULL,NULL,61,15,46,24.59,75.41
"Hotel Cafe","Los Angeles","California",165,118,29,89,24.58,75.42
"Cavern Club Liverpool","Liverpool",NULL,350,57,14,43,24.56,75.44
"Carnival Cruise Line - Carnival Valor","New Orleans","Louisiana",0,53,13,40,24.53,75.47
"IF Performance Hall","Ankara",NULL,400,53,13,40,24.53,75.47
"LP Field","Nashville","Tennessee",0,257,63,194,24.51,75.49
"Time Warner Cable Amphitheater At Tower City","Cleveland","Ohio",0,200,49,151,24.50,75.50
"sky city","Augusta","Georgia",0,45,11,34,24.44,75.56
"Umeda Club Quattro(梅田クラブクアトロ)","Osaka",NULL,NULL,41,10,31,24.39,75.61
"Zentrum für Aktion, Kultur und Kommunikation (ZAKK)","Düsseldorf",NULL,NULL,41,10,31,24.39,75.61
"Rhythm Room","Phoenix","Arizona",0,37,9,28,24.32,75.68
"Jazz Dock","Prague",NULL,NULL,37,9,28,24.32,75.68
"Silverlake Lounge","Los Angeles","California",0,70,17,53,24.29,75.71
"Virginia International Raceway","Alton","Virginia",0,1422,345,1077,24.26,75.74
"BCM","Calvia",NULL,NULL,33,8,25,24.24,75.76
"WWW X","Shibuya",NULL,500,33,8,25,24.24,75.76
"Scout Bar Houston","Houston","Texas",0,33,8,25,24.24,75.76
"Sandy Amphitheater","Sandy","UT",2700,33,8,25,24.24,75.76
"Uncle Pleasants","Louisville","Kentucky",0,33,8,25,24.24,75.76
"SiriusXM Studios","New York","New York",0,62,15,47,24.19,75.81
"Les Trois Baudets","Paris",NULL,NULL,91,22,69,24.18,75.82
"Canyon Moon Ranch","Florence","Arizona",0,120,29,91,24.17,75.83
"The Icon","Pocatello","Idaho",0,29,7,22,24.14,75.86
"Amnesia","Ibiza",NULL,NULL,133,32,101,24.06,75.94
"Velma V. Morrison Center for the Performing Arts, Boise State University","Boise","ID",NULL,25,6,19,24.00,76.00
"Adler Theatre","Davenport","IA",0,25,6,19,24.00,76.00
"Bellco Theatre","Denver","Colorado",5000,50,12,38,24.00,76.00
"Stern Auditorium, Carnegie Hall","New York","New York",0,239,57,182,23.85,76.15
"DECC Arena","Duluth","Minnesota",0,21,5,16,23.81,76.19
"Fåfängan","Stockholm",NULL,NULL,21,5,16,23.81,76.19
"Southport Hall","Jefferson","LA",0,21,5,16,23.81,76.19
"Beach Ballroom","Aberdeen",NULL,NULL,21,5,16,23.81,76.19
"Futurum Music Bar","Prague",NULL,NULL,21,5,16,23.81,76.19
"The Palace Theatre","Louisville","Kentucky",0,21,5,16,23.81,76.19
"Detroit Bar","Costa Mesa","California",0,42,10,32,23.81,76.19
"Arena at Dow Event Center","Saginaw","Michigan",7647,21,5,16,23.81,76.19
"Grand Théâtre de Provence","Aix-en-Provence",NULL,NULL,21,5,16,23.81,76.19
"Villa Country","São Paulo",NULL,3000,21,5,16,23.81,76.19
"Avenir Centre (formerly Known As Moncton Events Centre)","Moncton","NB",NULL,21,5,16,23.81,76.19
"Ole Bull Scene","Bergen",NULL,NULL,21,5,16,23.81,76.19
"Unknown venue","Manchester","TN",NULL,21,5,16,23.81,76.19
"Yuca","Cologne",NULL,NULL,160,38,122,23.75,76.25
"Broadmoor World Arena","Colorado Springs","Colorado",0,59,14,45,23.73,76.27
"Midway Stadium","Saint Paul","Minnesota",0,59,14,45,23.73,76.27
"Kulturkirche","Cologne",NULL,NULL,97,23,74,23.71,76.29
"Artpark Amphitheater","Lewiston","New York",10000,300,71,229,23.67,76.33
"Alcatraz","Milan",NULL,NULL,127,30,97,23.62,76.38
"Heaven","London",NULL,1000,144,34,110,23.61,76.39
"La Manufacture Chanson","Paris",NULL,NULL,34,8,26,23.53,76.47
"Green Room","Flagstaff","Arizona",0,34,8,26,23.53,76.47
"The Warehouse","Chattanooga","Tennessee",0,34,8,26,23.53,76.47
"Blossom Music Center","Cuyahoga Falls","Ohio",400,3001,705,2296,23.49,76.51
"Red Butte Garden Amphitheatre","Salt Lake City","Utah",0,81,19,62,23.46,76.54
"Royal Caribbean Cruise Line - Majesty Of The Seas","Miami","Florida",0,99,23,76,23.23,76.77
"Rockwood Music Hall","New York","New York",0,95,22,73,23.16,76.84
"Las Palmas Race Park","Mission","Texas",0,216,50,166,23.15,76.85
"The Waiting Room","London",NULL,120,212,49,163,23.11,76.89
"Mandela Hall","Belfast",NULL,NULL,26,6,20,23.08,76.92
"Harbiye Cemil Topuzlu Açık Hava Tiyatrosu","Istanbul",NULL,3972,26,6,20,23.08,76.92
"Drucklufthaus","Oberhausen",NULL,NULL,26,6,20,23.08,76.92
"Cellar Door","Washington","District of Columbia",0,26,6,20,23.08,76.92
"Antelope Valley Fairgrounds","Los Angeles","California",0,26,6,20,23.08,76.92
"A-park Ledárny Bráník","Prague",NULL,NULL,39,9,30,23.08,76.92
"Heartland Motorsports Park","Topeka","Kansas",0,26,6,20,23.08,76.92
"Toyota Pavilion at Montage Mountain","Scranton","Pennsylvania",18000,531,122,409,22.98,77.02
"Showbox Market","Seattle","Washington",1150,48,11,37,22.92,77.08
"The Social","London",NULL,150,188,43,145,22.87,77.13
"Coliseum","Portland","Oregon",12888,35,8,27,22.86,77.14
"Skype Live Studio","Portland","Oregon",0,22,5,17,22.73,77.27
"Dutchess County Fairgrounds","Rhinebeck","New York",0,22,5,17,22.73,77.27
"Hangar 11 / 11 האנגר","Tel Aviv-Jaffa",NULL,NULL,22,5,17,22.73,77.27
"The Studio at Webster Hall","New York","NY",300,22,5,17,22.73,77.27
"Century Plaza Hotel","Los Angeles","California",0,22,5,17,22.73,77.27
"The Juggernaut","Gallup","New Mexico",0,22,5,17,22.73,77.27
"The Annex","New York","New York",0,22,5,17,22.73,77.27
"Aalhaus","Hamburg",NULL,NULL,31,7,24,22.58,77.42
"H-E-B Performance Hall At The Tobin Center","San Antonio","Texas",0,31,7,24,22.58,77.42
"Denver Botanic Gardens - York St.","Denver","Colorado",0,31,7,24,22.58,77.42
"The Continental Club Gallery","Austin","TX",NULL,31,7,24,22.58,77.42
"Florentine Gardens","Hollywood","CA",NULL,31,7,24,22.58,77.42
"The Crafthouse Stage & Grill","Pittsburgh","Pennsylvania",0,40,9,31,22.50,77.50
"Knitting Factory Hollywood","Los Angeles","California",0,80,18,62,22.50,77.50
"Paste Studios","New York","New York",0,49,11,38,22.45,77.55
"Sky","Salt Lake City","Utah",0,36,8,28,22.22,77.78
"Denver Botanic Gardens at York Street","Denver","CO",NULL,54,12,42,22.22,77.78
"Ballroom, Higher Ground","South Burlington","Vermont",0,27,6,21,22.22,77.78
"The Blvd. House Of Music","Spokane","Washington",0,54,12,42,22.22,77.78
"Neptune's Parlour","Raleigh","NC",NULL,36,8,28,22.22,77.78
"Heinz Hall For The Performing Arts","Pittsburgh","Pennsylvania",0,27,6,21,22.22,77.78
"Aura","Kansas City","Missouri",0,27,6,21,22.22,77.78
"Liberty Hall","Overland Park","Kansas",0,63,14,49,22.22,77.78
"Hen & Chicken","Bristol",NULL,150,36,8,28,22.22,77.78
"Veterans Memorial","Columbus","Ohio",0,27,6,21,22.22,77.78
"Club Rodeo","San Jose","California",0,41,9,32,21.95,78.05
"Artpark","Lewiston","NY",NULL,32,7,25,21.88,78.13
"The Library Pub","Oxford",NULL,NULL,32,7,25,21.88,78.13
"Grand Emporium","Kansas City","Missouri",0,32,7,25,21.88,78.13
"Whiskers","Newquay",NULL,NULL,32,7,25,21.88,78.13
"The Lash","Los Angeles","CA",NULL,23,5,18,21.74,78.26
"The Arena","St Louis","Missouri",0,23,5,18,21.74,78.26
"Ruins","Dallas","Texas",0,23,5,18,21.74,78.26
"Late Night With David Letterman","New York","New York",0,46,10,36,21.74,78.26
"1999 - Paris","Paris",NULL,NULL,23,5,18,21.74,78.26
"Galaxy Hut","Arlington","VA",NULL,23,5,18,21.74,78.26
"King Georg","Cologne",NULL,NULL,37,8,29,21.62,78.38
"Marie-Antoinette","Berlin",NULL,NULL,37,8,29,21.62,78.38
